"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RabX5",-0.68240230035501,0.226176671355867,-3.78768987784599,0.000288935360659919,0.000288935360659919,-4.39589491010195
"amos",0.52390189495292,0.0426091237525118,3.16731371807728,0.00216208602658249,0.00216208602658249,-4.45416463676681
"CG43376",-2.40715791671651,0.294101590261117,-3.0846974948984,0.00277793989457274,0.00277793989457274,-4.46150288850546
"Osi9",-0.579757348178576,0.1579656531241,-3.00307986771335,0.00354336523901515,0.00354336523901515,-4.46863941873574
"CG12836",0.47658359474743,0.116159969498318,2.85157021662324,0.00550386262095893,0.00550386262095893,-4.48157255038029
"Acp53C14a",0.518587989937168,0.032411749371073,2.81271215795325,0.0061470160017405,0.0061470160017405,-4.48482060483571
"scw",0.578203894853883,0.0797343167348502,2.70376683415111,0.00833483462792116,0.00833483462792116,-4.49376975775324
"Bro",1.11025696071217,0.331300342389045,2.66584010491877,0.00924942363322378,0.00924942363322378,-4.49682921110505
"CG13670",-0.457076374648205,0.0319818922510555,-2.53344092626962,0.0132012019799437,0.0132012019799437,-4.50727345731217
"zen2",0.291607826388702,0.0313650943541429,2.39489594056348,0.018906773367451,0.018906773367451,-4.5177923648521
"CG14309",-1.46607317654316,2.41158440957592,-2.24193662073305,0.0276687841015158,0.0276687841015158,-4.52889079213634
"CG11356",-0.291404277987621,0.0484929787156891,-2.19241311920007,0.0311865566006563,0.0311865566006563,-4.53236339781916
"COX6AL",1.67162450598151,1.58132553911509,2.16283313354753,0.0334691434815803,0.0334691434815803,-4.53440861671819
"Ugt86De",-0.507148668502222,0.118648367581741,-2.11090556938407,0.0378293284958567,0.0378293284958567,-4.53794586649936
"CG14187",-2.49625104805496,2.73795435273418,-2.10380010570271,0.0384626725631606,0.0384626725631606,-4.53842456646921
"CG34224",0.85013114619534,0.108182018565522,2.09922205465189,0.038875580494555,0.038875580494555,-4.5387323102586
"Fcp3C",-2.29523017493678,2.93265966542343,-2.09117367926255,0.039610787764793,0.039610787764793,-4.53927203495704
"CG6154",0.634003647773888,0.638725353805572,2.08325429510565,0.0403459113498098,0.0403459113498098,-4.53980148856268
"Cpr64Ac",-0.378149099834824,0.0962374800884661,-2.0778436105819,0.0408549110061666,0.0408549110061666,-4.54016229541677
"CG31813",-0.629431699984672,0.0848359591442332,-2.01030489022928,0.0476893003563996,0.0476893003563996,-4.54460221399644
"Ilp7",-0.699691510779326,0.487093288697499,-2.0047747647758,0.0482899461996324,0.0482899461996324,-4.54496047899909
"CG6885",0.476659990902781,0.0791444769768513,2.00295840255003,0.048488634197978,0.048488634197978,-4.54507797497169
"CG34115",-1.49767304250843,0.619411581208815,-1.99796896643207,0.0490380195500151,0.0490380195500151,-4.54540028159795
"CG11289",-0.718259347333553,0.250466836387076,-1.99719912163529,0.049123258945233,0.049123258945233,-4.5454499533902
"CheB53a",-0.804507902615495,0.19830241907624,-1.94384169260678,0.0553476332302522,0.0553476332302522,-4.54885434244886
"C901",0.253880557579402,0.0542371936032526,1.91640739750734,0.058800543494092,0.058800543494092,-4.55057508917385
"CG14052",-0.439501944763511,0.111022497485775,-1.91300158386631,0.0592416527313589,0.0592416527313589,-4.55078729314086
"sphinx2",0.19179499951132,0.0154766955655177,1.89872979057412,0.0611206168112994,0.0611206168112994,-4.55167309843412
"CG14568",-0.405835251303522,0.0942643885991467,-1.8136350801427,0.0733956709073599,0.0733956709073599,-4.55683895271969
"Osi6",-0.87717243090134,0.320245247544601,-1.81286280728828,0.0735158539825475,0.0735158539825475,-4.55688491918994
"Cp7Fb",-1.93079371115403,3.64784716799654,-1.79745123042519,0.075948715567235,0.075948715567235,-4.55779875451103
"CG11041",0.748259528670705,0.204457801473933,1.79046139152735,0.0770739776133857,0.0770739776133857,-4.55821103194546
"CG33648",0.346757330868941,0.0696469672243244,1.7848413651229,0.0779887238403226,0.0779887238403226,-4.55854152190765
"CG12278",-0.189525526147338,0.0171574143606411,-1.78188721115951,0.0784731565003657,0.0784731565003657,-4.55871488790862
"CG42544",-0.236326008257583,0.0271964088200898,-1.77747765381851,0.0792008887033746,0.0792008887033746,-4.55897320899784
"CG14756",-0.289693030758746,0.0559548795593335,-1.76760884518046,0.0808498545032582,0.0808498545032582,-4.55954936259375
"Or1a",0.214541374068865,0.0455738457690384,1.74227506327016,0.0852131480578387,0.0852131480578387,-4.56101579384825
"Or98b",-0.208816711455684,0.0270920339278023,-1.72591558330983,0.0881324844750665,0.0881324844750665,-4.56195308220603
"CG34367",0.535794874865627,0.291485074107908,1.72538884537818,0.0882278286190641,0.0882278286190641,-4.5619831341791
"Cp7Fc",-1.8898536829775,3.10287779137674,-1.7198451028831,0.0892364390691121,0.0892364390691121,-4.56229894142805
"CG10280",-0.852579379627401,0.647541216289881,-1.71505320164328,0.0901158650491407,0.0901158650491407,-4.56257121213859
"Cpr76Bb",-0.325252198905954,0.0577978900234711,-1.70627760405366,0.0917448028593467,0.0917448028593467,-4.56306813024436
"lectin-46Ca",0.407396321379935,0.275661430929701,1.7050498588328,0.0919746081788477,0.0919746081788477,-4.5631374755181
"Ebp",-0.304725270548156,0.0670918766404435,-1.70242433401985,0.0924676258136668,0.0924676258136668,-4.5632856249575
"CG17127",-0.607415755586852,0.835261749158058,-1.69485923972716,0.0939002846763663,0.0939002846763663,-4.56371139182553
"Osi15",-0.411556894212034,0.164828206913812,-1.68523941425095,0.095748191176525,0.095748191176525,-4.56425042489621
"CG14834",-2.1705705422371,4.59803206945308,-1.64342241438206,0.104128306566663,0.104128306566663,-4.56656252581377
"CG5079",-0.434498810624886,0.165474957359985,-1.63982141653013,0.104876879294365,0.104876879294365,-4.56675925624387
"E(spl)mgamma-HLH",-0.548701777446269,1.06500840720881,-1.61688372510922,0.109747807427919,0.109747807427919,-4.56800351415994
"Osi19",-0.273403655892039,0.0425358032650278,-1.59228221172311,0.115172732959412,0.115172732959412,-4.56932089765756
"CG12688",-0.623509513589279,0.397777571605115,-1.57109543203103,0.120014943813207,0.120014943813207,-4.57044114002366
"CG11112",0.267985798753349,0.0502588823412962,1.55675275485052,0.12338412772445,0.12338412772445,-4.57119196340146
"halo",0.725216300704224,0.200778944644208,1.55378223149509,0.124091236302411,0.124091236302411,-4.5713467038035
"CecB",-2.72222151203449,1.79636245976557,-1.53888439707953,0.127686233597913,0.127686233597913,-4.57211880096381
"Acp53C14b",0.296316111954431,0.0383213143805518,1.5233738932964,0.131516218942073,0.131516218942073,-4.5729156156298
"CG13000",1.10733063533583,0.451792087654078,1.52299109115298,0.131611878176619,0.131611878176619,-4.57293519020812
"CG34205",-0.331694075489299,0.101358772893369,-1.52193437998588,0.131876227024039,0.131876227024039,-4.57298920233732
"srw",0.499283497979325,0.157047568796689,1.5184340464021,0.132754870639576,0.132754870639576,-4.57316787751432
"CG31659",1.06613291953456,0.531949836424246,1.49868394426868,0.13779927247745,0.13779927247745,-4.57416913610358
"CG12849",0.416820241488873,0.116074185773689,1.49052353702117,0.139926968636064,0.139926968636064,-4.57457941421556
"TwdlF",-0.311709196335741,0.0969866182136743,-1.4903500275401,0.139972486417982,0.139972486417982,-4.57458811590497
"CG12723",-0.131112774996868,0.022114254773614,-1.49013234287636,0.14002960934801,0.14002960934801,-4.57459903174385
"CG13331",0.456375706878905,0.167042654283779,1.48854786515898,0.14044594479651,0.14044594479651,-4.57467844261822
"CG32700",0.883133315927243,0.866181484231046,1.48110935917395,0.142413449776943,0.142413449776943,-4.57505023289983
"Acp53Ea",-0.376107212962286,0.0708390346701905,-1.47114129899436,0.145083738943843,0.145083738943843,-4.57554583293333
"CG13711",0.571723173613855,0.153522538430701,1.45729537155848,0.148857453192605,0.148857453192605,-4.57622924176987
"CG8800",0.596355891994501,0.223251491553001,1.4517726368373,0.150383799888122,0.150383799888122,-4.57650020992357
"CG18131",0.869069881581064,1.5479803239674,1.45037386370755,0.150772308270738,0.150772308270738,-4.57656869233365
"mthl13",-0.188891076888911,0.0427405382478419,-1.44105365806549,0.153380908453003,0.153380908453003,-4.57702347905438
"CG3713",-0.676936325293367,0.377489554932234,-1.43929463023516,0.15387713480575,0.15387713480575,-4.57710901533437
"CG31324",-0.910244626727121,3.52681952874489,-1.43911471496112,0.153927959351806,0.153927959351806,-4.57711775875986
"Upf1",1.31445946195284,2.30951249938986,1.42812692337522,0.157056612844532,0.157056612844532,-4.57764986518268
"CG43244",-0.195695184384127,0.0349085883552982,-1.42457734014332,0.158077741040284,0.158077741040284,-4.57782097287321
"Lgr4",0.401954167274346,0.313274849046345,1.42340966805288,0.158414768682155,0.158414768682155,-4.57787717628887
"CG33483",-0.248913501504227,0.0696465989172341,-1.42131991311202,0.159019321730658,0.159019321730658,-4.57797765806278
"CG13250",-0.449963814592063,0.412945202276268,-1.41615099592793,0.160522293975852,0.160522293975852,-4.5782256209887
"CG32806",1.15630080100786,1.18113264075449,1.41051267781675,0.162174196214382,0.162174196214382,-4.57849516837636
"Ance-2",-0.613609386865025,0.392857800591373,-1.40847869468969,0.162773304394214,0.162773304394214,-4.57859216636784
"CG13297",-0.356989569573682,0.127180763276355,-1.39713725219867,0.166145128521111,0.166145128521111,-4.57913069554656
"CG11381",-1.52227449985296,2.4682653497183,-1.39050618989392,0.168141186853435,0.168141186853435,-4.57944372776915
"Cyp4d21",-0.331524738164271,0.182151387499639,-1.38723636326571,0.169132183561917,0.169132183561917,-4.57959758777704
"CG17047",-0.252732346297092,0.0748975810771385,-1.38192681191543,0.170750862140384,0.170750862140384,-4.57984672378312
"Acp26Aa",-0.120142146652971,0.00750888416581066,-1.37972153329951,0.171426630187432,0.171426630187432,-4.57994994472921
"CG33958",-0.180411851861773,0.0824059752069804,-1.37688120311397,0.172300000221138,0.172300000221138,-4.5800826688588
"CG16815",0.214101059960937,0.0375888097874874,1.3739127568389,0.173216382759257,0.173216382759257,-4.58022111331995
"CG34214",0.852187547788202,0.253969454723904,1.37191690413046,0.173834600747409,0.173834600747409,-4.58031404416945
"Pex10",1.76021638354139,3.89829644469717,1.36813141384334,0.175011770516631,0.175011770516631,-4.58048996567387
"CG5160",0.60157509516388,1.04754860610369,1.35740550249349,0.178380094566929,0.178380094566929,-4.58098601700561
"pdm3",0.646744032531269,1.06983231701016,1.34607064962729,0.181992796728295,0.181992796728295,-4.58150635303426
"Nlg3",0.292896793833859,0.376684154283183,1.34313672664439,0.182936856671433,0.182936856671433,-4.5816403870009
"CG5928",0.773724755955591,0.478501851790172,1.34229706152166,0.183207718180785,0.183207718180785,-4.58167869717688
"CG9184",-0.746214835157924,0.38777324741159,-1.32508404474645,0.188827232206103,0.188827232206103,-4.58245921222366
"CG14490",-0.811524045054023,0.398853841597019,-1.30657458732474,0.195013366198768,0.195013366198768,-4.58328819429025
"Gr32a",0.23087869703526,0.103175017731377,1.30476877145536,0.195624909334757,0.195624909334757,-4.5833684973227
"CG44153",0.293641037072873,0.238785455880157,1.30019015787826,0.197181880696718,0.197181880696718,-4.58357164615131
"CG33453",0.219515902169136,0.0445183892589078,1.29492963902153,0.198982118664753,0.198982118664753,-4.58380423881851
"Osi20",-0.255670200502307,0.0558875766651498,-1.28709304434351,0.201686577363922,0.201686577363922,-4.5841491207806
"CG32269",-0.129250669351742,0.0280131776820266,-1.28259802041965,0.203250106794823,0.203250106794823,-4.5843460718203
"CG34312",-1.3919629038699,1.68363423515762,-1.27465412641551,0.206035223714303,0.206035223714303,-4.58469258129217
"IFT57",-0.285162123444911,0.12445125360048,-1.27339107060558,0.206480638161703,0.206480638161703,-4.58474749212086
